[作品信息]作品名称,[作品信息]小类(二级分类),[类别信息]高校,(科技发明类)[作品信息]
交互式立体投影系统,信息技术,武汉大学,本作品紧跟微软、索尼、飞利浦等巨头公司在人机交互和立体显示方向的发展趋势，集成手势识别、虚拟场景控制和立体显示这三个技术，研发一种交互式立体投影系统。系统实现了让用户同时感受自由、便捷的人机交互体验与新颖、炫目的立体展示效果。系统可应用于游戏、舞台展示、商业宣传和科技展览等各种领域。
SR7小型足球机器人研究,信息技术,湖北工业大学,简介：路径规划算法是机器人世界杯足球锦标赛（RoboCup）小型组足球机器人策略研究的核心内容。机器人四轮PI参数自整定，保证了机器人快速准确的完成定位和行走。本项目提出基于障碍边界启发的BRRT算法，有效解决了RRT计算易严重超时不能满足系统实时性要求的问题；提出基于遗传算法的四轮协调运动的PI参数自整定算法，有效解决了四轮相互牵制造成的机器人运动不协调的问题。
基于双积分方式的微功耗声光控楼道用LED照明灯的设计,信息技术,延边大学,本文利用MK6A12P的微功耗特性，设计了低待机功耗、声光控、高灵敏度的楼道用LED照明灯。这种LED照明灯具有小于0.1W的待机功耗，光亮度检测采用双积分检测方法，解决了电源电压变动对光亮度检测产生的影响，提高了检测精度。LED驱动单元采用恒流驱动，大大延长了LED灯组的使用寿命。经实验证明，这种LED照明灯具有电路简单，工作稳定可靠，很高的性价比等优点。
实时微光夜视视频增强理论与方法,信息技术,华侨大学,夜间监控是视频监控的薄弱环节，市场需求巨大。本作品提出了国内领先、国际先进的算法，实现了对夜间低照度视频图像进行自适应增强处理，提升视频图像的整体亮度，提高其可视性和清晰度，符合人眼视觉感知原理。本作品在微光条件下可以实时处理高清视频，得到白天的效果，视觉效果良好。该技术可广泛应用于安防视频监控等行业。
可吸入颗粒物检测仪,数理,太原科技大学,本作品发明的目的用于测量环境中可吸入颗粒物和以粉末或颗粒为原料的工业生产过程的颗粒浓度检测。
“蛇之眼”——高精度视觉追踪红外测温仪,机械与控制,南京理工大学,“蛇之眼”——高精度视觉追踪红外测温仪是首台具有人眼视觉追踪功能的高精度红外测温设备。作品创新性地将小型化红外测温仪组件与头盔进行完美结合，在单FPGA上运用多项自主研发的创新技术，完成了复杂的图像处理和测温算法，在解放巡检人员双手的同时，还具备测温灵敏度高、空间分辨能力强、环境适应性好、体积小巧、成本低廉等显著优点，完全满足了电力巡检对红外测温仪“测温准确、使用方便、价格低廉”的总要求。
基于信息融合算法的面部穴位定位及其虚拟应用系统,生命科学,上海中医药大学,"正如《太平圣惠方》所言：""穴点以差讹，治病全然纰谬。”腧穴的准确定位对提高针灸疗效具有重要意义。本项目采集多位专家面部穴位定位的数据信息，运用信息融合算法，得到穴位点的最佳“精准性”数据值；同时，开发虚拟应用系统，构建专家穴位定位与优选配穴方案的数据库，提供面部穴位定位和针灸处方的学习平台，实现对新治疗对象相关疾病的处方穴位自动化定位。此发明有助于中医的客观化、标准化、规范化发展。"
调味食品中违禁物玫瑰红类染料快速检测试剂盒,生命科学,华南农业大学,近年来，不法商贩为牟取暴利在花椒粉、辣椒酱等调味品添加玫瑰红这类致癌的工业染料，严重损害了广大人民群众的身体健康。非法滥用于调味食品的事件时有发生，一个重要原因就是缺乏适合基层、现场使用的快速、简便、有效的检测手段。而本试剂盒不但能检测出微量玫瑰红类染料，还操作简单，快速，100个样品只需80min，成本极低，每个样品只需1-2元，可用于工商系统、卫生系统、农业系统及质检系统等。
日光温室群智能灌溉及卷闭帘监控系统的研发,生命科学,宁夏大学,为了解决电动卷、闭帘存在的保温性能差、稳定性差和使用寿命短、灌溉随意性强等问题。我们研发了日光温室群智能灌溉及卷闭帘控制系统，本系统由温湿度传感器、风向传感器、风速传感器、光照强度传感器、编程控制器、人机交互触摸屏及辅助元器件组成。“编程控制器”自主开发控制程序，将4-20MA的电流转换成特定可识别的数值加以显示，并且可以自动控制日光温室的卷帘机、灌溉系统等电器设备的运行，实现无人化操作。
澄清型玉米发酵饮料,生命科学,吉林农业科技学院,本发明是以玉米籽粒为主要原料，利用物理和生物的方法生产出一种口感风味独特、稳定性良好的澄清型玉米发酵饮料。通过乳酸菌发酵产生乳酸，抑制引起消化不良等疾病。同时，乳酸本身也可作为机体利用的营养源。所获得的产品保留了玉米中对人体健康有益的营养成分，还让消费者很方便的饮用到口感更好、吸收更容易的饮料，提高原料玉米的营养价值和适口性。无论是从农业、健康和工业角度来看，本产品都有积极地市场意义。
食用级多功能纳米复合膜的制作,生命科学,青岛农业大学,食用级多功能纳米复合膜设计目的是发明一种能够有效降低“白色污染”对人类生活及生存环境带来的危害和对食品安全产生严重威胁的新材料。该作品以天然豌豆淀粉和花生分离蛋白为复合成膜基质，以蜡质玉米淀粉纳米晶为增强相，采用纯物理法制备，具有安全绿色、可全生物降解的特点，具备较强的机械性能和良好的阻气、阻湿和阻油性能，可广泛用于微波食品，果蔬和肉制品，糖果、焙烤制品及方便食品调味料的包装等。
3D技术在古生物复原中的应用,生命科学,首都师范大学,针对传统古生物研究成果展示方面的诸多问题，首创性的将影视动画行业所使用的3D技术引进古生物研究领域，并在实践创新的过程中摸索出融合美术、生物、3D技术等多学科知识，进行古生物复原的具体方法和操作步骤。本项目制作出的复原作品，凝集了科学性和艺术性，曾多次在科学研究及文章发表过程中发挥作用，对昆虫学研究具有重要意义，在生物科普宣传方面有很好的市场前景。
基于气密性建筑室内空气品质控制装置,能源化工,上海理工大学,"该装置内设空气品质传感器，当其超过某特定的指标参数时，装置内的传感器将会自动感应并自动启动空气品质处理装置风机则立即从室外鼓入新风，室外新鲜空气由进风口进入装置后，将会经过初效过滤器和中效过滤器双重过滤,而后经换热器（可加热或制冷）送入室内。新风的送入保证了室内一定的正压，并通过渗透的方式将室内污染空气排出室外，从而达到有效更替和改善室内空气品质的目的。"
高介电常数聚偏氟乙烯基复合材料的应用,能源化工,哈尔滨师范大学,凭借在高介电常数聚偏氟乙烯基复合材料的先进研发能力，本项目探索并将其应用于环保涂料的生产研发。该涂料使用制备方法简单，使用方便，污染小，在具备传统涂料的性能基础上，还具有很高的力学性能，介电常数高达4800-35000，可以在静电、微波辐照严重的环境中使用，起到吸波和电磁屏蔽的功能。具有更好的耐候、耐沾污、保色、耐性好、耐磨、耐冲击、耐化学品腐蚀等优点，是一种绿色环保低价的新型多功能涂料。
