[作品信息]作品名称,院系,[类别信息]高校,(哲学社科类)[作品信息]简介
老年人健身方式调查与运动损伤成因分析,社会,上海体育学院,通过调查分析老年人的健身方式与运动损伤病史，了解不适合的健身方式与不恰当运动强度等对身体各个方面具有的负面影响。并结合调查结果，对老年人运动方式、锻炼方法、健身知识、运动处方等方面提出合理建议。运用运动人体科学特有的专业知识从解剖、生理、病理等方面分析运动方式与运动损伤之间的联系。并且从运动的角度提出合理的建议。
老年长期护理服务需求调查及对策研究,社会,长春工业大学,随着老龄化趋势的加剧和家庭照护功能的弱化，我国也不断关注老年长期护理问题。本报告详解不同国家的老年护理服务政策，特别是全面介绍日本和韩国的护理保险制度形成背景、主要内容、服务模式、实施效果，这将对深化国内老年护理服务制度的研究具有重要的学术价值。 
高校微电影与校园文化建设调研报告 ,教育,郑州航空工业管理学院,本调查报告经历了选题、阅读文献、调查走访、设计发放问卷、分析数据、讨论总结等一系列过程，通过对校园微电影的现状及校园微电影与高校校园文化建设的关系的调查，分析高校微电影的现状和存在的问题，提出可行性建议，以求校园微电影源于校园文化而又回归校园文化使高校微电影向有利于校园文化建设的方向发展。
披星戴月打拼风雨无阻经营夜市流动小车大排档摊主生存生活状况调查,社会,盐城师范学院,通过对江苏省13市“夜市流动小车大排档摊主生存生活状况”专项调研，运用访谈和问卷调查法，研究发现：夜市流动小车大排档摊主收入水平较低，生存压力大；受教育程度低，社会保障低；劳动强度大，工作环境差；维权意识薄弱，社会地位不高；但多数摊主对未来生活依然充满希望。呼吁政府能提高其人力资本水平、合理规划为其提供服务、建立多元化社会保障制度、完善其利益与诉求表达机制，提高摊主的幸福指数。
农村孤寡老人生活现状的调查研究报告,社会,中北大学, 农村孤寡老人作为“三农”中农民的一部分，研究他们具有很好的社会价值。在采访两镇九村的农村孤寡老人的基础上，我们对相关数据进行分析，总结出了农村孤寡老人收入主要靠五保低保、养老金、种地及地的租金，身体条件较差等生活特点。于此，我们探讨了当前保障农村孤寡老人的五保制度存在一定缺陷等问题，提出了农村孤寡老人“婚配养老”等的创新模式，切实有效地提高农村孤寡老人的生活质量。
让她们过上更体面的生活,社会,湖南师范大学,社会很多人对女性足浴技师这一群体存有偏见，同时，其生存状况不佳。作为社会劳动者，她们同样有权过上有尊严的生活，实现体面的劳动。研究采用定性与定量相结合的研究方法，首次探讨了这一群体的尊严感现状及影响其的各因素，并为提高这一群体的尊严感提出针对性建议。研究填补了对女性足浴技师尊严感研究的空白；让公众更加客观全面地了解女性足浴技师这一群体；也为政府相关部门的决策提供参考意见，促进足浴行业健康发展。
山西煤矿工人生态意识调查研究,社会,太原科技大学,本作品研究成果的主要内容包括山西矿区煤矿工人生态意识薄弱现状调查分析、山西矿区煤矿工人生态意识薄弱原因探究、社会工作者在山西矿区煤矿工人生态意识提升过程的介入模式研究及介入困境分析四个方面。山西矿区煤矿工人生态意识薄弱，社会工作者在山西煤矿矿区矿工生态意识提升过程中可以、能够介入。山西省政府及民政部门应着手建设一支宏大的社会工作者队伍，投入到煤炭污染防治工作中去，以早日实现我省开展的蓝天碧水工程。
谁来“救助”救助站,社会,东北大学秦皇岛分校,本调研对包括浙江省金华市救助管理站在内的位于全国各地的14个救助站进行了实地走访和电话访谈，对14位工作人员和200位民众进行问卷调查，结合文献研究的方法，运用扎根理论，分析了救助站工作人员在工作中面临的由法律制度、救助站、社会公众、受助人员和工作人员自身因素所造成的现实困境，并对应地提出了现实操作性强的各项困境的解决策略，为国家以及地方政府救助管理制度和社会保障制度的修订与完善提供参考。
私营企业工会：方兴未艾与进退维谷,社会,中国人民大学, 近年来，我国开始逐渐重视私营企业的工会建设，调研组选取全国第二个、辽宁省第一个推行新工会模式的模范私营企业工会——辽宁省后英集团工会为研究对象，考察其组织实际工作的困难与劳动争议维权效能。从而为基层私营企业工会当前发展的成就与困境提供若干实践总结与合理化建议，亦为国内学界更深层次工会理论研究与基层工会实践提供一二思考，以资现世。
甜与爱的味觉具身效应研究,社会,北京师范大学,本实验以具身认知理论为基础，对甜度味觉(初级知觉)与浪漫爱的感觉(高级社会认知)之间的隐喻关系进行双向研究。第一部分两个实验采用了词汇判断的范式和情景回忆词汇的方式进行研究，证明了感受到甜味之后人们倾向于产生爱的感觉。第二部分为两个启动试验，证明了感受到浪漫的爱之后人们倾向于对甜味更敏感、更偏好甜味。综上证明了甜味与浪漫的爱之间存在耦合的具身效应。
微博的社会动员与风险演化研究,社会,华中师范大学,微博的社会动员意指近几年来兴起的、以微博为平台的草根阶层的动员行动。本文围绕相关的社会热点事件，如郭美美事件、什邡事件等，探讨包括微博社会动员的内涵与特征、信息传播结构、社会心理以及社会风险的演化与政府应对等主题。本文将在媒介与社会、动员与风险的关系视角下，从社会动员与社会风险两个层面出发，采用宏大叙事与个案研究相结合的方式，论述以微博为中介的社会动员和社会风险的演化历程。
西部地区进城务工人员随迁子女社会适应性研究,社会,西北大学,本研究旨在调查西部地区进城务工人员随迁子女的社会适应性现状，从内部发展程度和外部影响因素两个方面的多个维度进行测量，综合分析西部地区进城务工人员随迁子女社会适应性偏低的原因，并最终提出相应的解决对策与合理化建议，即随迁子女社会适应性问题的合理解决需要各方主体共同努力，互相配合，采取完整并具备针对性的干预措施，以实现随迁子女自身的健康成长以及整个社会的和谐稳定发展。
